Unnamed: 0,outcome,ss-1,ts-1,knocks-1,tkd-lnd-1,tkd-att-1,sub-att-1,h-tar-1,b-tar-1,l-tar-1,dist-pos-1,clinch-pos-1,ground-pos-1,r1-ts-1,r1-ss-1,r2-ts-1,r2-ss-1,r3-ts-1,r3-ss-1,r4-ts-1,r4-ss-1,r5-ts-1,r5-ss-1,r1-td-1,r2-td-1,r3-td-1,r4-td-1,r5-td-1,r1-kd-1,r2-kd-1,r3-kd-1,r4-kd-1,r5-kd-1,age-1,height-1,weight-1,reach-1,leg_reach-1,ranking-1,ss-2,ts-2,knocks-2,tkd-lnd-2,tkd-att-2,sub-att-2,h-tar-2,b-tar-2,l-tar-2,dist-pos-2,clinch-pos-2,ground-pos-2,r1-ts-2,r1-ss-2,r2-ts-2,r2-ss-2,r3-ts-2,r3-ss-2,r4-ts-2,r4-ss-2,r5-ts-2,r5-ss-2,r1-td-2,r2-td-2,r3-td-2,r4-td-2,r5-td-2,r1-kd-2,r2-kd-2,r3-kd-2,r4-kd-2,r5-kd-2,age-2,height-2,weight-2,reach-2,leg_reach-2,ranking-2
3740,1,39,42,1,0,0.0,0,13,5,21,39,0,0,39,16,36.0,16.0,13.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,38.0,72.0,186.0,79.5,43.0,986.0724386460575,68,77,0,0,,0,27,4,37,56,12,0,76,35,65.0,27.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,75.0,185.0,79.0,44.0,1386.0506523612182
3741,1,89,91,0,0,0.0,0,59,8,22,84,5,0,66,31,45.0,23.0,54.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,74.0,170.5,76.0,45.0,1499.4078410861914,40,65,0,3,,0,30,4,6,29,2,9,32,6,42.0,15.0,47.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.0,71.0,171.0,72.5,45.0,1416.8317940721197
3742,0,6,6,0,0,0.0,0,0,0,6,6,0,0,10,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.0,66.0,136.0,66.0,38.0,948.3650177001545,10,16,0,0,,1,6,2,2,7,1,2,16,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,34.0,70.0,136.0,75.5,41.0,1585.2919352825638
3743,0,102,121,0,3,5.0,0,80,14,8,81,1,20,86,23,69.0,34.0,35.0,10.0,61.0,17.0,45.0,18.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,70.0,191.0,77.0,39.0,1824.7948190910165,111,113,0,0,0.0,0,82,19,10,110,0,1,51,20,35.0,18.0,29.0,16.0,60.0,24.0,53.0,33.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0,70.0,155.8,70.0,40.0,1616.8911701475656
3744,1,126,127,1,0,0.0,0,71,36,19,117,9,0,73,34,106.0,63.0,47.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,39.0,71.0,155.5,75.0,41.0,2596.0706509821093,81,111,0,0,,0,59,12,10,78,3,0,75,26,96.0,40.0,33.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0,72.0,169.7,75.0,42.5,1175.5455893520395
3745,1,111,118,0,2,4.0,1,79,25,7,102,1,8,111,48,82.0,37.0,54.0,26.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.0,68.0,135.0,71.5,38.5,1896.965196924054,71,88,0,1,2.0,0,53,7,11,71,0,0,65,26,73.0,27.0,47.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,66.0,124.0,69.0,38.0,1925.0721696288515
3746,0,1,1,0,0,0.0,0,0,0,1,1,0,0,2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.0,68.0,156.0,71.0,40.0,3228.5364628350007,0,1,0,1,,1,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0,70.0,156.0,74.0,41.0,1387.6117676749598
3747,1,14,22,0,1,5.0,0,5,7,2,11,2,1,28,5,27.0,3.0,16.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0,71.0,171.0,72.0,40.5,1382.284835575564,25,33,0,1,5.0,0,15,7,3,19,5,1,29,7,25.0,7.0,30.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.0,73.0,184.4,76.0,44.0,1298.8952576868496
3748,0,92,110,0,1,4.0,1,39,27,26,69,13,10,47,30,32.0,22.0,75.0,40.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,36.86253008825889,70.02935276811982,166.20581706338595,71.88410232266165,40.14344005021971,1637.9292519388412,58,69,0,0,0.0,0,26,12,20,45,9,4,40,18,17.0,7.0,74.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.0,69.0,156.0,70.0,39.0,1715.5907097452605
3749,0,116,149,0,3,7.0,0,94,10,12,88,13,15,55,37,56.0,37.0,83.0,42.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.0,69.0,156.0,68.0,38.0,1455.905619046911,95,121,0,1,2.0,2,54,30,11,78,15,2,37,19,51.0,25.0,103.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0,68.0,156.0,69.0,39.0,1789.569356445636
